query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle,d1nn,dknn,d_ratio,local_density,isolation_score,intrinsic_dim,difficulty,difficulty_score
79,hnsw_ef20,1.0,1.0690000000000002,10,False,20,20,0,0,0,21953.0,47928.0,1.0,{},0.0,0.0,0.0,none,0.0,148.1654510498047,218.92465209960938,1.4775688296323515,130,0.27595051177859314,3.28894033771197,medium,0.2
80,hnsw_ef20,1.0,1.573,10,False,20,20,0,0,0,21407.0,97059.0,1.0,{},0.0,0.0,0.0,none,0.0,146.31130981445312,311.5429382324219,2.1293154891956725,3,0.2724972693446801,8.968625922761051,very_hard,0.75
81,hnsw_ef20,1.0,1.693,10,False,20,20,0,0,0,76629.0,94504.0,1.0,{},0.0,0.0,0.0,none,0.0,276.8194274902344,307.4150390625,1.1105255214551188,4987,0.5155619082920345,0.25060019006138345,easy,0.0
82,hnsw_ef20,0.9,1.9120000000000001,9,False,20,20,0,0,0,73974.0,92874.0,1.0,{},0.0,0.0,0.0,none,0.0,271.98162841796875,304.59808349609375,1.1199215375973908,5106,0.5065517570022784,0.45539559495960014,easy,0.0
83,hnsw_ef20,1.0,1.623,10,False,20,20,0,0,0,32981.0,71927.0,1.0,{},0.0,0.0,0.0,none,0.0,181.60671997070312,268.1921081542969,1.4767741424852656,463,0.3382331505979865,3.002888510030499,medium,0.2
84,hnsw_ef20,1.0,1.9040000000000001,10,False,20,20,0,0,0,37125.0,69971.0,1.0,{},0.0,0.0,0.0,none,0.0,192.67848205566406,264.52032470703125,1.3728586704903163,1812,0.35885373651722885,1.5371899257156842,easy,0.1
85,hnsw_ef20,1.0,1.034,10,False,20,20,0,0,0,81286.0,156301.0,1.0,{},0.0,0.0,0.0,none,0.0,285.10699462890625,395.3492126464844,1.3866696366431446,3373,0.5309970747030436,2.687228392728122,medium,0.2
86,hnsw_ef20,1.0,1.253,10,False,20,20,0,0,0,50583.0,88690.0,1.0,{},0.0,0.0,0.0,none,0.0,224.90664672851562,297.80865478515625,1.324143412909626,1007,0.4188770312336788,1.623742921731788,easy,0.1
87,hnsw_ef20,1.0,1.0430000000000001,10,False,20,20,0,0,0,15267.0,83244.0,1.0,{},0.0,0.0,0.0,none,0.0,123.55970001220703,288.5203552246094,2.3350684340938437,5,0.23012356937459558,8.684395138489826,hard,0.45
88,hnsw_ef20,1.0,1.009,10,False,20,20,0,0,0,5637.0,40609.0,1.0,{},0.0,0.0,0.0,none,0.0,75.0799560546875,201.51675415039062,2.6840286641032103,2,0.13983254632445308,8.230287136928146,very_hard,0.75
89,hnsw_ef20,1.0,1.444,10,False,20,20,0,0,0,13118.0,47442.0,1.0,{},0.0,0.0,0.0,none,0.0,114.5338363647461,217.8118438720703,1.901724859529053,16,0.21331336378946616,5.102763903300936,medium,0.30000000000000004
90,hnsw_ef20,1.0,1.425,10,False,20,20,0,0,0,2546.0,31244.0,1.0,{},0.0,0.0,0.0,none,0.0,50.45790481567383,176.7597198486328,3.5031125547988595,2,0.09397524563590959,14.172338829874379,very_hard,0.8999999999999999
91,hnsw_ef20,1.0,1.251,10,False,20,20,0,0,0,88820.0,118161.0,1.0,{},0.0,0.0,0.0,none,0.0,298.02685546875,343.74554443359375,1.1534045946729712,5031,0.555059649247933,0.742862206176542,easy,0.0
92,hnsw_ef20,1.0,1.519,10,False,20,20,0,0,0,20012.0,104917.0,1.0,{},0.0,0.0,0.0,none,0.0,141.46377563476562,323.908935546875,2.2896952530317756,2,0.2634689869193842,9.626637450973796,very_hard,0.75
93,hnsw_ef20,1.0,1.454,10,False,20,20,0,0,0,55119.0,74990.0,1.0,{},0.0,0.0,0.0,none,0.0,234.77435302734375,273.843017578125,1.1664094226946118,3216,0.43725512534366906,0.4849741195962938,easy,0.0
94,hnsw_ef20,1.0,0.907,10,False,20,20,0,0,0,25783.0,73191.0,1.0,{},0.0,0.0,0.0,none,0.0,160.57086181640625,270.5383605957031,1.6848533883129535,44,0.29905494959194456,3.817327231923294,medium,0.30000000000000004
95,hnsw_ef20,0.9,1.535,9,False,20,20,0,0,0,93264.0,114270.0,1.0,{},0.0,0.0,0.0,none,0.0,305.39154052734375,334.5489501953125,1.0954754988223325,7686,0.5687759953772609,0.2702208611131306,easy,0.0
96,hnsw_ef20,0.6,1.696,6,False,20,20,0,0,0,101357.0,111316.0,1.0,{},0.0,0.0,0.0,none,0.0,285.7901306152344,330.230224609375,1.1554990506441642,5587,0.5322693802486749,0.5647390864089664,easy,0.0
97,hnsw_ef20,0.9,1.425,9,False,20,20,0,0,0,92261.0,104254.0,1.0,{},0.0,0.0,0.0,none,0.0,233.53158569335938,321.8928527832031,1.378369661763301,2213,0.4349405352728743,2.03093133946932,medium,0.2
98,hnsw_ef20,1.0,1.184,10,False,20,20,0,0,0,18887.0,23629.0,1.0,{},0.0,0.0,0.0,none,0.0,137.4299774169922,153.71726989746094,1.118513389775577,198,0.25595624575928755,0.20864920722800284,easy,0.0
99,hnsw_ef20,1.0,1.28,10,False,20,20,0,0,0,34082.0,114241.0,1.0,{},0.0,0.0,0.0,none,0.0,184.6131134033203,337.9955749511719,1.8308318879426522,55,0.3438324033283659,7.748738338448244,medium,0.30000000000000004
0,hnsw_ef50,1.0,3.8800000000000003,10,False,50,50,0,0,0,76608.0,98017.0,1.0,{},0.0,0.0,0.0,none,0.0,276.781494140625,313.07666015625,1.1311329217595179,4772,0.5154912593845867,0.7106165975474681,easy,0.0
1,hnsw_ef50,1.0,3.4090000000000003,10,False,50,50,0,0,0,65973.0,76936.0,1.0,{},0.0,0.0,0.0,none,0.0,256.85211181640625,277.3733825683594,1.0798952775074764,4598,0.47837381255178363,0.20938421798694962,easy,0.0
2,hnsw_ef50,1.0,4.072,10,False,50,50,0,0,0,42740.0,61289.0,1.0,{},0.0,0.0,0.0,none,0.0,206.73654174804688,247.56614685058594,1.1974958309610246,2378,0.3850361477287537,0.8105092895036693,easy,0.0
