query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle
62,hnsw_ef20,1.0,1.7810000000000001,10,False,20,20,0,0,0,17332.0,59702.0,1.0,{},0.0,0.0,0.0,none,0.0
63,hnsw_ef20,1.0,1.214,10,False,20,20,0,0,0,9009.0,51518.0,1.0,{},0.0,0.0,0.0,none,0.0
64,hnsw_ef20,1.0,1.185,10,False,20,20,0,0,0,19120.0,69118.0,1.0,{},0.0,0.0,0.0,none,0.0
65,hnsw_ef20,0.9,1.123,9,False,20,20,0,0,0,30061.0,61207.0,1.0,{},0.0,0.0,0.0,none,0.0
66,hnsw_ef20,1.0,1.253,10,False,20,20,0,0,0,40347.0,85595.0,1.0,{},0.0,0.0,0.0,none,0.0
67,hnsw_ef20,1.0,1.1900000000000002,10,False,20,20,0,0,0,50277.0,77892.0,1.0,{},0.0,0.0,0.0,none,0.0
68,hnsw_ef20,1.0,1.6540000000000001,10,False,20,20,0,0,0,40526.0,48625.0,1.0,{},0.0,0.0,0.0,none,0.0
69,hnsw_ef20,1.0,1.582,10,False,20,20,0,0,0,71189.0,87094.0,1.0,{},0.0,0.0,0.0,none,0.0
70,hnsw_ef20,1.0,0.8809999999999999,10,False,20,20,0,0,0,2192.0,25387.0,1.0,{},0.0,0.0,0.0,none,0.0
71,hnsw_ef20,1.0,1.1689999999999998,10,False,20,20,0,0,0,37510.0,76084.0,1.0,{},0.0,0.0,0.0,none,0.0
72,hnsw_ef20,1.0,2.994,10,False,20,20,0,0,0,91937.0,112634.0,1.0,{},0.0,0.0,0.0,none,0.0
73,hnsw_ef20,1.0,1.463,10,False,20,20,0,0,0,53111.0,91810.0,1.0,{},0.0,0.0,0.0,none,0.0
74,hnsw_ef20,0.9,1.839,9,False,20,20,0,0,0,17186.0,54202.0,1.0,{},0.0,0.0,0.0,none,0.0
75,hnsw_ef20,1.0,1.25,10,False,20,20,0,0,0,44970.0,97812.0,1.0,{},0.0,0.0,0.0,none,0.0
76,hnsw_ef20,0.9,1.6139999999999999,9,False,20,20,0,0,0,63130.0,87984.0,1.0,{},0.0,0.0,0.0,none,0.0
77,hnsw_ef20,0.9,1.574,9,False,20,20,0,0,0,86269.0,112447.0,1.0,{},0.0,0.0,0.0,none,0.0
78,hnsw_ef20,1.0,1.522,10,False,20,20,0,0,0,51469.0,74257.0,1.0,{},0.0,0.0,0.0,none,0.0
79,hnsw_ef20,1.0,0.93,10,False,20,20,0,0,0,21953.0,47928.0,1.0,{},0.0,0.0,0.0,none,0.0
80,hnsw_ef20,1.0,1.453,10,False,20,20,0,0,0,21407.0,97059.0,1.0,{},0.0,0.0,0.0,none,0.0
81,hnsw_ef20,1.0,1.59,10,False,20,20,0,0,0,76629.0,94504.0,1.0,{},0.0,0.0,0.0,none,0.0
82,hnsw_ef20,0.9,2.1189999999999998,9,False,20,20,0,0,0,73974.0,92874.0,1.0,{},0.0,0.0,0.0,none,0.0
83,hnsw_ef20,1.0,1.6,10,False,20,20,0,0,0,32981.0,71927.0,1.0,{},0.0,0.0,0.0,none,0.0
84,hnsw_ef20,1.0,1.895,10,False,20,20,0,0,0,37125.0,69971.0,1.0,{},0.0,0.0,0.0,none,0.0
85,hnsw_ef20,1.0,1.01,10,False,20,20,0,0,0,81286.0,156301.0,1.0,{},0.0,0.0,0.0,none,0.0
86,hnsw_ef20,1.0,1.1789999999999998,10,False,20,20,0,0,0,50583.0,88690.0,1.0,{},0.0,0.0,0.0,none,0.0
87,hnsw_ef20,1.0,0.988,10,False,20,20,0,0,0,15267.0,83244.0,1.0,{},0.0,0.0,0.0,none,0.0
88,hnsw_ef20,1.0,0.949,10,False,20,20,0,0,0,5637.0,40609.0,1.0,{},0.0,0.0,0.0,none,0.0
89,hnsw_ef20,1.0,1.254,10,False,20,20,0,0,0,13118.0,47442.0,1.0,{},0.0,0.0,0.0,none,0.0
90,hnsw_ef20,1.0,1.348,10,False,20,20,0,0,0,2546.0,31244.0,1.0,{},0.0,0.0,0.0,none,0.0
91,hnsw_ef20,1.0,1.229,10,False,20,20,0,0,0,88820.0,118161.0,1.0,{},0.0,0.0,0.0,none,0.0
92,hnsw_ef20,1.0,1.459,10,False,20,20,0,0,0,20012.0,104917.0,1.0,{},0.0,0.0,0.0,none,0.0
